Epoch 97/200: Loss = 1.6178, Val Accuracy = 0.4412
Epoch 98/200: Loss = 1.6773, Val Accuracy = 0.4414
Epoch 99/200: Loss = 1.6213, Val Accuracy = 0.4398
Epoch 100/200: Loss = 1.5900, Val Accuracy = 0.4410
Epoch 101/200: Loss = 1.5114, Val Accuracy = 0.4404
Epoch 102/200: Loss = 1.5465, Val Accuracy = 0.4402
Epoch 103/200: Loss = 1.6851, Val Accuracy = 0.4400
Epoch 104/200: Loss = 1.5394, Val Accuracy = 0.4414
Epoch 105/200: Loss = 1.6811, Val Accuracy = 0.4410
Epoch 106/200: Loss = 1.6958, Val Accuracy = 0.4406
Epoch 107/200: Loss = 1.5753, Val Accuracy = 0.4412
Epoch 108/200: Loss = 1.5739, Val Accuracy = 0.4406
Epoch 109/200: Loss = 1.5852, Val Accuracy = 0.4402
Epoch 110/200: Loss = 1.6705, Val Accuracy = 0.4410
Epoch 111/200: Loss = 1.4750, Val Accuracy = 0.4410
Epoch 112/200: Loss = 1.6803, Val Accuracy = 0.4412
Epoch 113/200: Loss = 1.5250, Val Accuracy = 0.4410
Epoch 114/200: Loss = 1.5189, Val Accuracy = 0.4410
Epoch 115/200: Loss = 1.6899, Val Accuracy = 0.4410
Epoch 116/200: Loss = 1.4993, Val Accuracy = 0.4410
Epoch 117/200: Loss = 1.5642, Val Accuracy = 0.4412
Epoch 118/200: Loss = 1.5895, Val Accuracy = 0.4408
Epoch 119/200: Loss = 1.8513, Val Accuracy = 0.4410
Epoch 120/200: Loss = 1.4684, Val Accuracy = 0.4408
Epoch 121/200: Loss = 1.6283, Val Accuracy = 0.4410
Epoch 122/200: Loss = 1.5516, Val Accuracy = 0.4408
Epoch 123/200: Loss = 1.5602, Val Accuracy = 0.4410
Epoch 124/200: Loss = 1.4873, Val Accuracy = 0.4410
Epoch 125/200: Loss = 1.4623, Val Accuracy = 0.4408
Epoch 126/200: Loss = 1.5002, Val Accuracy = 0.4412
Epoch 127/200: Loss = 1.3909, Val Accuracy = 0.4412
Epoch 128/200: Loss = 1.6813, Val Accuracy = 0.4410
Epoch 129/200: Loss = 1.6839, Val Accuracy = 0.4410
Epoch 130/200: Loss = 1.5869, Val Accuracy = 0.4412
Epoch 131/200: Loss = 1.5046, Val Accuracy = 0.4412
Epoch 132/200: Loss = 1.6343, Val Accuracy = 0.4410
Epoch 133/200: Loss = 1.5696, Val Accuracy = 0.4412
Epoch 134/200: Loss = 1.4981, Val Accuracy = 0.4412
Epoch 135/200: Loss = 1.6265, Val Accuracy = 0.4412
Epoch 136/200: Loss = 1.6397, Val Accuracy = 0.4412
Epoch 137/200: Loss = 1.5798, Val Accuracy = 0.4412
Epoch 138/200: Loss = 1.5609, Val Accuracy = 0.4414
Epoch 139/200: Loss = 1.6746, Val Accuracy = 0.4412
Epoch 140/200: Loss = 1.5624, Val Accuracy = 0.4412
Epoch 141/200: Loss = 1.6705, Val Accuracy = 0.4412
Epoch 142/200: Loss = 1.4881, Val Accuracy = 0.4412
Epoch 143/200: Loss = 1.5512, Val Accuracy = 0.4412
Epoch 144/200: Loss = 1.5509, Val Accuracy = 0.4412
Epoch 145/200: Loss = 1.4932, Val Accuracy = 0.4412
Epoch 146/200: Loss = 1.6664, Val Accuracy = 0.4412
Epoch 147/200: Loss = 1.7552, Val Accuracy = 0.4412
Epoch 148/200: Loss = 1.7672, Val Accuracy = 0.4412
Epoch 149/200: Loss = 1.3980, Val Accuracy = 0.4412
Epoch 150/200: Loss = 1.5015, Val Accuracy = 0.4412
Epoch 151/200: Loss = 1.6229, Val Accuracy = 0.4414
Epoch 152/200: Loss = 1.5260, Val Accuracy = 0.4414
Epoch 153/200: Loss = 1.6036, Val Accuracy = 0.4414
Epoch 154/200: Loss = 1.7055, Val Accuracy = 0.4414
Epoch 155/200: Loss = 1.6595, Val Accuracy = 0.4414
Epoch 156/200: Loss = 1.4670, Val Accuracy = 0.4414
Epoch 157/200: Loss = 1.6336, Val Accuracy = 0.4414
Epoch 158/200: Loss = 1.4459, Val Accuracy = 0.4416
Epoch 159/200: Loss = 1.5402, Val Accuracy = 0.4416
Epoch 160/200: Loss = 1.5481, Val Accuracy = 0.4416
Epoch 161/200: Loss = 1.5700, Val Accuracy = 0.4416
Epoch 162/200: Loss = 1.4086, Val Accuracy = 0.4416
Epoch 163/200: Loss = 1.6377, Val Accuracy = 0.4416
Epoch 164/200: Loss = 1.6676, Val Accuracy = 0.4416
Epoch 165/200: Loss = 1.5096, Val Accuracy = 0.4416
Epoch 166/200: Loss = 1.5052, Val Accuracy = 0.4416
Epoch 167/200: Loss = 1.4882, Val Accuracy = 0.4416
Epoch 168/200: Loss = 1.6245, Val Accuracy = 0.4416
Epoch 169/200: Loss = 1.5788, Val Accuracy = 0.4416
Epoch 170/200: Loss = 1.5952, Val Accuracy = 0.4416
Epoch 171/200: Loss = 1.4694, Val Accuracy = 0.4416
Epoch 172/200: Loss = 1.4972, Val Accuracy = 0.4416
Epoch 173/200: Loss = 1.5683, Val Accuracy = 0.4416
Epoch 174/200: Loss = 1.6548, Val Accuracy = 0.4416
Epoch 175/200: Loss = 1.6163, Val Accuracy = 0.4416
Epoch 176/200: Loss = 1.4895, Val Accuracy = 0.4416
Epoch 177/200: Loss = 1.6715, Val Accuracy = 0.4416
